date,ym,philippines_abc_au_solomon_islands_body_count,philippines_abc_au_solomon_islands_epu_count,philippines_abc_au_solomon_islands_ratio,philippines_asia_news_network_body_count,philippines_asia_news_network_epu_count,philippines_asia_news_network_ratio,philippines_philippine_star_body_count,philippines_philippine_star_epu_count,philippines_philippine_star_ratio,philippines_inquirer_body_count,philippines_inquirer_epu_count,philippines_inquirer_ratio,news_total,philippines_abc_au_solomon_islands_weights,philippines_asia_news_network_weights,philippines_philippine_star_weights,philippines_inquirer_weights,philippines_abc_au_solomon_islands_z_score,philippines_asia_news_network_z_score,philippines_philippine_star_z_score,philippines_inquirer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2015-01-01,2015-1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,1.0,0.007352941176470588,145.0,0.06206896551724138,0.0,0.0,0.9379310344827586,0.0,,,0.8788700158321764,0.4394350079160882,0.8243194631253516,75.97840565585153,59.97474654936592,75.97840565585153
2015-02-01,2015-2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,1.0,0.006535947712418301,160.0,0.04375,0.0,0.0,0.95625,0.0,,,0.7812177918508235,0.39060889592541176,0.74703951345735,68.85543012561546,53.310885821658594,68.85543012561546
2015-03-01,2015-3,15.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,157,0.0,0.0,172.0,0.0872093023255814,0.0,0.0,0.9127906976744186,0.7941647265411211,,,0.0,0.39708236327056057,0.0692585517332373,6.383634712170424,54.194394318539736,6.383634712170424
2015-04-01,2015-4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,127.0,0.12598425196850394,0.0,0.0,0.8740157480314961,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,1.0,0.008064516129032258,151.0,0.17880794701986755,0.0,0.0,0.8211920529801324,0.0,,,0.9639219528481934,0.4819609764240967,0.7915650473720264,72.95939615959252,65.77875427994971,72.95939615959252
2015-06-01,2015-6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,1.0,0.007352941176470588,143.0,0.04895104895104895,0.0,0.0,0.951048951048951,0.0,,,0.8788700158321764,0.4394350079160882,0.8358484066655664,77.04104069998931,59.97474654936592,77.04104069998931
2015-07-01,2015-7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,5.0,0.033783783783783786,159.0,0.06918238993710692,0.0,0.0,0.9308176100628931,0.0,,,4.0380514240937835,2.0190257120468917,3.7586893758860374,346.442415726367,275.5596463078975,346.442415726367
2015-08-01,2015-8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,0.0,0.0,152.0,0.046052631578947366,0.0,0.0,0.9539473684210527,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,3.0,0.023809523809523808,133.0,0.05263157894736842,0.0,0.0,0.9473684210526315,0.0,,,2.8458648131708566,1.4229324065854283,2.6960824545829167,248.50080045334894,194.20394120747056,248.50080045334894
2015-10-01,2015-10,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,1.0,0.006493506493506494,172.0,0.10465116279069768,0.0,0.0,0.8953488372093024,0.0,,,0.7761449490465974,0.3880724745232987,0.6949204776347442,64.05156290754925,52.96471123840107,64.05156290754925
