,date,tonga flights-AU,tonga hotel-AU,tonga travel-AU,tonga flights-NZ,tonga hotel-NZ,tonga travel-NZ,tonga flights-US,tonga hotel-US,tonga travel-US,tonga flights-JP,tonga hotel-JP,tonga travel-JP,tonga flights-HK,tonga hotel-HK,tonga travel-HK,tonga flights-NC,tonga hotel-NC,tonga travel-NC,tonga flights,tonga hotel,tonga travel
0,2004-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,2004-02-01,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,2.2561108408345154,3.711237909911677,0.0
2,2004-03-01,79,85,0,0,0,80,100,66,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0933507342944533
3,2004-04-01,100,0,0,58,90,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5988932350530085,7.354398659404365,0.0
4,2004-05-01,0,56,81,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.376194668140422,2.340260601565098,0.0
5,2004-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7393419134287496,3.5233599854007074,2.1300768241978387
6,2004-07-01,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.9600039946274035,2.606703548669887
7,2004-08-01,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0.0,4.181607633240532,3.637542522847703
8,2004-09-01,89,0,0,0,57,0,0,31,0,0,0,0,0,0,0,0,0,0,1.6792009154268983,0.0,0.0
9,2004-10-01,65,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0.0,0.0,1.5681646839457142
10,2004-11-01,50,33,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6405295230287327,0.0,1.587698604812144
11,2004-12-01,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.9465094808232366,2.7242191648196945
12,2005-01-01,70,0,0,34,61,0,0,38,0,0,0,0,0,0,0,0,0,0,2.773975125480279,1.1967372324631953,0.0
13,2005-02-01,0,0,48,46,0,56,27,16,0,0,0,0,0,0,0,0,0,0,0.0,2.365671770331826,0.0
14,2005-03-01,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2.518991712036364,2.5105840045428884,1.3369981600882173
15,2005-04-01,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9757884590351489
16,2005-05-01,0,0,0,23,0,76,0,35,0,0,0,0,0,0,0,0,0,0,1.946836864806353,1.4719949417633602,0.0
17,2005-06-01,0,0,0,0,0,0,47,22,0,0,0,0,0,0,0,0,0,0,0.0,2.062510510362923,0.9539603765667969
18,2005-07-01,0,24,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.4766982035277243,0.0
19,2005-08-01,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.013092809035616,0.0
20,2005-09-01,0,0,0,31,0,0,0,16,17,0,0,0,0,0,0,0,0,0,1.039365731588521,3.4068310132046165,0.0
21,2005-10-01,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0.0,2.944550849717105,1.2947359701368784
22,2005-11-01,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.7024321775951545,1.3932873200794909
23,2005-12-01,0,32,0,24,48,0,0,0,17,0,0,0,0,0,0,0,0,0,1.1760134973592653,1.0588810592955047,0.0
24,2006-01-01,0,0,41,0,90,21,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3.320835498379311,2.179650255785866
25,2006-02-01,22,0,0,0,71,0,0,0,12,0,0,0,0,0,0,0,0,0,1.5586041202654126,2.1406455910896667,0.0
26,2006-03-01,0,0,0,0,0,54,0,22,0,0,0,0,0,0,0,0,0,0,0.0,2.8524801333842897,1.7920383193616143
