date,ym,singapore_today_body_count,singapore_today_epu_count,singapore_today_ratio,singapore_the_independent_body_count,singapore_the_independent_epu_count,singapore_the_independent_ratio,singapore_the_straits_times_body_count,singapore_the_straits_times_epu_count,singapore_the_straits_times_ratio,news_total,singapore_today_weights,singapore_the_independent_weights,singapore_the_straits_times_weights,singapore_today_z_score,singapore_the_independent_z_score,singapore_the_straits_times_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2022-10-01,2022-10,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,,,,,0,,
2022-11-01,2022-11,0.0,0.0,0.0,10,1.0,0.1,0.0,0.0,0.0,10.0,0.0,1.0,0.0,,,,,0,,
2022-12-01,2022-12,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,,,,,0,,
2023-01-01,2023-1,0.0,0.0,0.0,3,1.0,0.3333333333333333,0.0,0.0,0.0,3.0,0.0,1.0,0.0,,,,,0,,
2023-02-01,2023-2,0.0,0.0,0.0,10,3.0,0.3,0.0,0.0,0.0,10.0,0.0,1.0,0.0,,,,,0,,
2023-03-01,2023-3,0.0,0.0,0.0,17,1.0,0.058823529411764705,0.0,0.0,0.0,17.0,0.0,1.0,0.0,,,,,0,,
2023-04-01,2023-4,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,,,,,0,,
2023-05-01,2023-5,0.0,0.0,0.0,20,3.0,0.15,0.0,0.0,0.0,20.0,0.0,1.0,0.0,,,,,0,,
2023-06-01,2023-6,0.0,0.0,0.0,14,1.0,0.07142857142857142,0.0,0.0,0.0,14.0,0.0,1.0,0.0,,,,,0,,
2023-07-01,2023-7,0.0,0.0,0.0,23,5.0,0.21739130434782608,0.0,0.0,0.0,23.0,0.0,1.0,0.0,,,,,0,,
2023-08-01,2023-8,0.0,0.0,0.0,33,2.0,0.06060606060606061,0.0,0.0,0.0,33.0,0.0,1.0,0.0,,,,,0,,
2023-09-01,2023-9,0.0,0.0,0.0,65,2.0,0.03076923076923077,0.0,0.0,0.0,65.0,0.0,1.0,0.0,,,,,0,,
2023-10-01,2023-10,0.0,0.0,0.0,22,1.0,0.045454545454545456,0.0,0.0,0.0,22.0,0.0,1.0,0.0,,,,,0,,
2023-11-01,2023-11,0.0,0.0,0.0,21,2.0,0.09523809523809523,0.0,0.0,0.0,21.0,0.0,1.0,0.0,,,,,0,,
2023-12-01,2023-12,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,,,,,0,,
2024-01-01,2024-1,0.0,0.0,0.0,43,10.0,0.23255813953488372,0.0,0.0,0.0,43.0,0.0,1.0,0.0,,,,,0,,
2024-02-01,2024-2,0.0,0.0,0.0,54,2.0,0.037037037037037035,0.0,0.0,0.0,54.0,0.0,1.0,0.0,,,,,0,,
2024-03-01,2024-3,0.0,0.0,0.0,48,3.0,0.0625,0.0,0.0,0.0,48.0,0.0,1.0,0.0,,,,,0,,
2024-04-01,2024-4,61.0,5.0,0.08196721311475409,42,0.0,0.0,0.0,0.0,0.0,103.0,0.5922330097087378,0.4077669902912621,0.0,,,,,0,,
2024-05-01,2024-5,159.0,7.0,0.0440251572327044,64,6.0,0.09375,0.0,0.0,0.0,223.0,0.7130044843049327,0.28699551569506726,0.0,,,,,0,,
2024-06-01,2024-6,103.0,6.0,0.05825242718446602,60,4.0,0.06666666666666667,0.0,0.0,0.0,163.0,0.6319018404907976,0.36809815950920244,0.0,,,,,0,,
2024-07-01,2024-7,125.0,8.0,0.064,70,2.0,0.02857142857142857,0.0,0.0,0.0,195.0,0.6410256410256411,0.358974358974359,0.0,,,,,0,,
2024-08-01,2024-8,107.0,5.0,0.04672897196261682,41,1.0,0.024390243902439025,0.0,0.0,0.0,148.0,0.722972972972973,0.27702702702702703,0.0,,,,,0,,
2024-09-01,2024-9,60.0,4.0,0.06666666666666667,35,1.0,0.02857142857142857,342.0,18.0,0.05263157894736842,437.0,0.13729977116704806,0.08009153318077804,0.782608695652174,,,,,0,,
2024-10-01,2024-10,0.0,0.0,0.0,37,2.0,0.05405405405405406,673.0,40.0,0.05943536404160475,710.0,0.0,0.05211267605633803,0.9478873239436619,,,,,0,,
2024-11-01,2024-11,0.0,0.0,0.0,26,1.0,0.038461538461538464,658.0,38.0,0.057750759878419454,684.0,0.0,0.038011695906432746,0.9619883040935673,,,,,0,,
2024-12-01,2024-12,0.0,0.0,0.0,37,2.0,0.05405405405405406,562.0,37.0,0.06583629893238434,599.0,0.0,0.06176961602671119,0.9382303839732888,,,,,0,,
2025-01-01,2025-1,0.0,0.0,0.0,32,0.0,0.0,644.0,42.0,0.06521739130434782,676.0,0.0,0.047337278106508875,0.9526627218934911,,,,,0,,
2025-02-01,2025-2,0.0,0.0,0.0,80,5.0,0.0625,671.0,42.0,0.06259314456035768,751.0,0.0,0.10652463382157124,0.8934753661784287,,,,,0,,
2025-03-01,2025-3,0.0,0.0,0.0,152,4.0,0.02631578947368421,784.0,61.0,0.0778061224489796,936.0,0.0,0.1623931623931624,0.8376068376068376,,,,,0,,
2025-04-01,2025-4,0.0,0.0,0.0,304,32.0,0.10526315789473684,942.0,107.0,0.11358811040339703,1246.0,0.0,0.24398073836276082,0.7560192616372392,,,,,0,,
2025-05-01,2025-5,0.0,0.0,0.0,99,2.0,0.020202020202020204,731.0,66.0,0.09028727770177838,830.0,0.0,0.11927710843373494,0.880722891566265,,,,,0,,
2025-06-01,2025-6,0.0,0.0,0.0,51,5.0,0.09803921568627451,616.0,48.0,0.07792207792207792,667.0,0.0,0.07646176911544228,0.9235382308845578,,,,,0,,
2025-07-01,2025-7,0.0,0.0,0.0,64,8.0,0.125,763.0,50.0,0.0655307994757536,827.0,0.0,0.0773881499395405,0.9226118500604595,,,,,0,,
2025-08-01,2025-8,0.0,0.0,0.0,84,2.0,0.023809523809523808,728.0,79.0,0.10851648351648352,812.0,0.0,0.10344827586206896,0.896551724137931,,,,,0,,
2025-09-01,2025-9,0.0,0.0,0.0,79,3.0,0.0379746835443038,745.0,57.0,0.07651006711409396,824.0,0.0,0.09587378640776699,0.904126213592233,,,,,0,,
