date,ym,tuvalu_abc_au_body_count,tuvalu_abc_au_epu_count,tuvalu_abc_au_ratio,tuvalu_rnz_body_count,tuvalu_rnz_epu_count,tuvalu_rnz_ratio,news_total,tuvalu_abc_au_weights,tuvalu_rnz_weights,tuvalu_abc_au_z_score,tuvalu_rnz_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-02-01,2015-2,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,7.0,0.0,0.0,19.0,0.0,0.0,26.0,0.2692307692307692,0.7307692307692307,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,1.0,0.0,0.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,1.0,0.0,0.0,6.0,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,1.0,0.0,0.0,7.0,0.0,0.0,8.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,3.0,0.0,0.0,14.0,0.0,0.0,17.0,0.17647058823529413,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
2016-06-01,2016-6,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,2016-7,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016-8,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,2016-9,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,2016-10,1.0,0.0,0.0,6.0,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
