date,ym,japan_news_body_count,japan_news_epu_count,japan_news_ratio,japan_the_asahi_shimbun_body_count,japan_the_asahi_shimbun_epu_count,japan_the_asahi_shimbun_ratio,japan_today_body_count,japan_today_epu_count,japan_today_ratio,news_total,japan_news_weights,japan_the_asahi_shimbun_weights,japan_today_weights,japan_news_z_score,japan_the_asahi_shimbun_z_score,japan_today_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2015-01-01,2015-1,0.0,0.0,0.0,0.0,0.0,0.0,60,0.0,0.0,60.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,0.0,0.0,0.0,0.0,0.0,0.0,46,1.0,0.021739130434782608,46.0,0.0,0.0,1.0,,0.0,1.8788154657544025,0.9394077328772013,1.8788154657544025,654.2768712510579,612.2117355501432,654.2768712510579
2015-03-01,2015-3,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,47.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,42.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,53.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,42.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,0.0,0.0,0.0,0.0,0.0,0.0,60,0.0,0.0,60.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,0.0,0.0,0.0,0.0,0.0,0.0,48,0.0,0.0,48.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,21.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,18.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
